city,population,year
Moscow,12678079,2020
Saint-Petersburg,5398064,2020
Novosibirsk,1625631,2020
Yekaterinburg,1493749,2020
Kazan,1257391,2020
Nizhny Novgorod,1252236,2020
Chelyabinsk,1196588,2020
Samara,1156659,2020
Omsk,1125695,2020
Rostov-on-Don,1125299,2020
